Batch	Day	Size (µm2)	radius	Volume
Batch 19	Day13	875345.171	527.8551144	616073900.5
Batch 19	Day13	994827.11	562.7284462	746423351.8
Batch 19	Day13	862842.368	524.0718042	602921808.7
Batch 19	Day13	935020.429	545.5513233	680135509.8
Batch 19	Day13	775901.011	496.9677681	514130391.6
Batch 19	Day13	847308.051	519.3327732	586713119.8
Batch16	Day13	569600.378	425.8044522	323384502.6
Batch16	Day13	659853.619	458.298953	403213630.3
Batch16	Day13	574165.171	427.5072517	327279699
Batch16	Day13	688810.707	468.2470051	430044734.1
Batch16	Day13	601676.595	437.6295334	351081930
Batch16	Day13	664917.824	460.0542543	407864364.9
Batch16	Day13	650846.694	455.1603422	394986138.6
Batch16	Day13	753690.355	489.8031146	492213177.8
Batch 18	Day14	713001.485	476.3983853	452897008.3
Batch 18	Day14	736710.374	484.2542672	475673523.1
Batch 18	Day14	789928.333	501.4399244	528135471.4
Batch 18	Day14	760454.31	491.9960618	498854034.3
Batch 18	Day14	594351.898	434.9575669	344690473.9
Batch 18	Day14	650014.342	454.8692023	394228673.7
Batch 18	Day14	835795.309	515.7925064	574795943
Batch 18	Day14	651302.298	455.3196244	395400956.9
Batch 18	Day14	762451.955	492.6418527	500820991.6
Batch 18	Day14	553829.498	419.868318	310047279.7
Batch 17	Day17	1410030.57	669.9452741	1259524422
Batch 17	Day17	1935840.47	784.9822671	2026133921
Batch 17	Day17	1573390.6	707.6904569	1484631350
Batch 17	Day17	1984791.53	794.8451208	2103469151
Batch 17	Day17	2143648.1	826.0413929	2360989416
Batch 17	Day17	1848767.69	767.1251743	1890981648
Batch 17	Day17	1594663.77	712.4585905	1514842536
Batch 17	Day17	1410039.33	669.9473551	1259536160
Batch 17	Day17	1282374.06	638.89932	1092410553
Batch 17	Day17	1397133.5	666.874355	1242283336
Batch 17	Day17	2157526.48	828.7110524	2383954720
Batch 17	Day17	1776239.17	751.9271827	1780803353
Batch 18	Day17	1296094.73	642.308155	1109989620
Batch 18	Day17	2173849.34	831.8399702	2411059694
Batch 18	Day17	1215382.87	621.987446	1007937183
Batch 18	Day17	2036896.77	805.2107668	2186841614
Batch 18	Day17	2070970.63	811.9177455	2241943740
Batch 18	Day17	1294596.49	641.9368048	1108065512
Batch 18	Day17	1409557.45	669.8328683	1258890546
Batch 18	Day17	1521968.77	696.0299605	1412447817
Batch 18	Day17	1489498.28	688.5651952	1367488898
