Batch	Day	Size (µm2)	radius	Volume
Batch 19	Day38	5282762.91	1296.74811	9133883758
Batch 19	Day38	5012143.37	1263.097299	8441099668
Batch 19	Day38	4799017.45	1235.950929	7908466766
Batch 19	Day38	4718629.77	1225.55559	7710590791
Batch 19	Day38	3876596.2	1110.837025	5741688784
Batch 19	Day38	4688577.48	1221.646661	7637046697
Batch 20	Day38	5366331.05	1306.964508	9351472296
Batch 20	Day38	6152894.93	1399.473931	11481088077
Batch 20	Day38	6463292.13	1434.339493	12360740212
Batch 20	Day38	5542851.01	1328.286217	9816656799
Batch 20	Day38	6882534.69	1480.127979	13582709547
Batch 20	Day38	6748315.74	1465.62465	13187330527
Batch 20	Day38	6452051	1433.09163	12328507044
Batch 20	Day38	6588898.43	1448.20976	12722809353
Batch 12	Day42	7633097.16	1558.746384	15864083458
Batch 12	Day42	5969584.74	1378.469383	10971853056
Batch 12	Day42	8571885.08	1651.821953	18878970604
Batch 12	Day42	8596890.68	1654.229517	18961640419
Batch 12	Day42	7639685.88	1559.418976	15884628177
Batch 12	Day42	7235320.52	1517.588235	14640316397
Batch 13	Day42	5037008.79	1266.226557	8503992400
Batch 13	Day42	4836219.21	1240.732198	8000603852
Batch 13	Day42	4849764.64	1242.468523	8034239879
Batch 13	Day42	5414476.04	1312.814249	9477601727
Batch 13	Day42	8133402.04	1609.019042	17449065012
Batch 13	Day42	5082490.26	1271.930382	8619431703
Batch 17	Day42	8507320.84	1645.589356	18666075496
Batch 17	Day42	7810940.12	1576.800387	16421724539
Batch 17	Day42	7284297.86	1522.716002	14789222553
Batch 17	Day42	7326318.5	1527.101702	14917377933
Batch 17	Day42	7188244.44	1512.64314	14497664856
Batch 17	Day42	11506959.7	1913.838821	29363288246
Batch 17	Day42	5925102.09	1373.323914	10849445855
Batch 17	Day42	8330765.84	1628.424124	18088026749
Batch 18	Day42	5748766.13	1352.733933	10368734687
Batch 18	Day42	5969497.12	1378.459266	10971611494
Batch 18	Day42	7148212.69	1508.425261	14376726123
Batch 18	Day42	5632780.07	1339.018141	10056526267
Batch 18	Day42	6535312.49	1442.308765	12567917986
Batch 18	Day42	5248137.07	1292.491359	9044229086
Batch 18	Day42	4769797.52	1232.182497	7836348024
Batch 18	Day42	5301039.61	1298.989344	9181325285
Batch 19	Day42	4214741.4	1158.271926	6509088854
Batch 19	Day42	5541931.04	1328.175982	9814212933
Batch 19	Day42	5406643.17	1311.864312	9457042960
Batch 19	Day42	5167328.83	1282.502184	8836147346
Batch 19	Day42	5980869.68	1379.771701	11002979643
Batch 19	Day42	4755980.47	1230.396522	7802322441
Batch 20	Day42	7805884.67	1576.290031	16405784248
Batch 20	Day42	8322529.94	1627.618984	18061210303
Batch 20	Day42	6853910.55	1477.04688	13498062929
Batch 20	Day42	7785829.37	1574.263784	16342598937
Batch 20	Day42	7648465	1560.314719	15912016694
Batch 20	Day42	7364948.39	1531.122426	15035516863
Batch 20	Day42	6709019.97	1461.351218	13072312675
Batch 20	Day42	5995116.04	1381.414024	11042316494
Batch 21	Day42	6030556.71	1385.491184	11140377539
Batch 21	Day42	6421911.1	1429.740463	12242221532
Batch 21	Day42	6624715.85	1452.140678	12826692486
Batch 21	Day42	5484402.37	1321.264354	9661793809
Batch 21	Day42	6501878.22	1438.614652	12471596361
Batch 21	Day42	6452042.24	1433.090657	12328481937
Batch 21	Day42	6119854.94	1395.711406	11388735125
Batch 21	Day42	6733981.77	1464.06727	13145336407
Batch 21	Day42	6789118.52	1470.048823	13307114257
Batch16	Day42	5675343.92	1344.067735	10170728867
Batch16	Day42	7639834.83	1559.434178	15885092730
Batch16	Day42	5998918.57	1381.85205	11052823896
Batch16	Day42	4841537.5	1241.414214	8013804626
Batch16	Day42	7015167.8	1494.321674	13977223049
Batch16	Day42	5705238.5	1347.60299	10251195279
