day	rep	count
0	1	24000
0	2	24000
0	3	24000
3	1	9200
3	2	6000
3	3	5830
6	1	23450
6	2	86500
6	3	31500
9	1	97250
9	2	56000
9	3	100500
13	1	127500
13	2	152500
13	3	121750
16	1	354000
16	2	393000
16	3	205800
21	1	585000
21	2	759000
21	3	735000
25	1	564000
25	2	606000
25	3	594000
32	1	1400000
32	2	855000
32	3	269500
41	1	856000
41	2	258000
41	3	1172000
